Class Index,Title,Description,processed_text
4,Group to Propose New High-Speed Wireless Format," LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.","  LOS ANGELES ( Reuters ) - a group of technology company   include Texas Instruments Inc. & lt;TXN.N&gt ; , STMicroelectronics   & lt;STM.PA&gt ; and Broadcom Corp. & lt;BRCM.O&gt ; , on Thursday say they   will propose a new wireless networking standard up to 10 time   the speed of the current generation ."
4,"Apple Launches Graphics Software, Video Bundle", LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing software bundle featuring its flagship Final Cut  Pro software.,  LOS ANGELES ( Reuters ) - Apple Computer Inc.&lt;AAPL.O&gt ; on   Tuesday begin ship a new program design to let user   create real - time motion graphic and unveil a discount   video - editing software bundle feature its flagship Final Cut   Pro software .
4,Dutch Retailer Beats Apple to Local Download Market," AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital song services.","  AMSTERDAM ( Reuters ) - Free Record Shop , a dutch music   retail chain , beat Apple Computer Inc. to market on Tuesday   with the launch of a new download service in Europe 's late   battleground for digital song service ."
4,Super ant colony hits Australia,"A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.","a giant 100 km colony of ant   which have be discover in Melbourne , Australia , could threaten local insect specie ."
4,Socialites unite dolphin groups,"Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.","dolphin group , or "" pod "" , rely on socialite to keep they from collapse , scientist claim ."
4,Teenage T. rex's monster growth,Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.,tyrannosaurus rex achieve its massive size due to an enormous growth spurt during its adolescent year .
4,Scientists Discover Ganymede has a Lumpy Interior,"Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...","jet Propulsion Lab -- scientist have discover irregular lump beneath the icy surface of Jupiter 's large moon , Ganymede . these irregular masse may be rock formation , support by Ganymede 's icy shell for billion of year ..."
4,Mars Rovers Relay Images Through Mars Express,"European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...","European Space Agency -- ESAs Mars Express have relay picture from one of NASA 's Mars rover for the first time , as part of a set of interplanetary networking demonstration .      the demonstration pave the way for future Mars mission to draw on joint interplanetary networking capability ..."
4,Rocking the Cradle of Life,"When did life begin? One evidential clue stems from the fossil records in Western Australia, although whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.","when do life begin ? one evidential clue stem from the fossil record in Western Australia , although whether these layer sediment be biological or chemical have spawn a spirited debate . Oxford researcher , Nicola McLoughlin , describe some of the issue in contention ."
4,"Storage, servers bruise HP earnings","update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.","update earning per share rise compare with a year ago , but company miss analyst ' expectation by a long shot ."
4,IBM to hire even more new workers,"By the end of the year, the computing giant plans to have its biggest headcount since 1991.","by the end of the year , the compute giant plan to have its big headcount since 1991 ."
4,Sun's Looking Glass Provides 3D View,Developers get early code for new operating system 'skin' still being crafted.,developer get early code for new operating system ' skin ' still be craft .
4,IBM Chips May Someday Heal Themselves,New technology applies electrical fuses to help identify and repair faults.,new technology apply electrical fuse to help identify and repair fault .
4,Some People Not Eligible to Get in on Google IPO,"Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.","Google have bill its ipo as a way for everyday people to get in on the process , deny Wall Street the usual stranglehold it be have on ipos . public bidding , a minimum of just five share , an open process with 28 underwriter - all this point to a new level of public participation . but this be not the case ."
4,Rivals Try to Turn Tables on Charles Schwab,"By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...","by MICHAEL LIEDTKE      SAN FRANCISCO ( AP ) -- with its low price and iconoclastic attitude , discount stock broker Charles Schwab Corp. ( SCH ) represent an annoying stone in Wall Street 's wing - tip shoe for decade ..."
4,News: Sluggish movement on power grid cyber security,Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\,industry cyber security standard fail to reach some of the most vulnerable component of the power grid.\
2,Giddy Phelps Touches Gold for First Time,Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,Michael Phelps win the gold medal in the 400 individual medley and set a world record in a time of 4 minute 8.26 second .
2,Tougher rules won't soften Law's game,"FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...","FOXBOROUGH -- look at his ridiculously develop upper body , with huge bicep and hardly an ounce of fat , it be easy to see why Ty Law , arguably the good cornerback in football , choose physical play over finesse . that be not to imply that he be lack a finesse component , because he can shut down his side of the field much as Deion Sanders ..."
2,Shoppach doesn't appear ready to hit the next level,"With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...","with the week dwindle until Jason Varitek enter free agency , the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future , in his climb toward the major . the Sox like most of what they have see at Triple a Pawtucket from Shoppach , though it remain highly uncertain whether he can make the adjustment at the plate ..."
2,Mighty Ortiz makes sure Sox can rest easy,"Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...","just imagine what David Ortiz could do on a good night 's rest . Ortiz spend the night before last with his baby boy , D'Angelo , who be barely 1 month old . he have plan on attend the Red Sox ' Family Day at Fenway Park yesterday morning , but he have to sleep in . after all , Ortiz have a son at home , and he ..."
2,They've caught his eye,"In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.","in   quot;helpe themselves , quot ; Ricky Bryant , Chas Gessner , Michael Jennings , and David Patten do nothing Friday night to make Bill Belichick 's decision on what to do with his receiver any easy ."
2,Indians Mount Charge,"The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.","the Cleveland Indians pull within one game of the AL Central lead by beat the Minnesota Twins , 7 - 1 , Saturday night with home run by Travis Hafner and Victor Martinez ."
1,Sister of man who died in Vancouver police custody slams chief (Canadian Press),Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.,Canadian Press - VANCOUVER ( CP ) - the sister of a man who die after a violent confrontation with police have demand the city 's chief constable resign for defend the officer involve .
1,"Man Sought  #36;50M From McGreevey, Aides Say (AP)","AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.","AP - the man who claim Gov. James E. McGreevey sexually harass he be push for a cash settlement of up to   # 36;50 million before the governor decide to announce that he be gay and have an extramarital affair , source tell the Associated Press ."
1,Explosions Echo Throughout Najaf,"NAJAF, Iraq - Explosions and gunfire rattled through the city of Najaf as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the fighting in this holy city...","NAJAF , Iraq - Explosions and gunfire rattle through the city of Najaf as U.S. troop in armored vehicle and tank roll back into the street here Sunday , a day after the collapse of talk - and with they a temporary cease - fire - intend to end the fighting in this holy city ..."
1,Frail Pope Celebrates Mass at Lourdes,"LOURDES, France - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on Sunday for several hundred thousand pilgrims, many in wheelchairs, at a shrine to the Virgin Mary that is associated with miraculous cures.    At one point he said ""help me"" in Polish while struggling through his homily in French...","LOURDES , France - A frail Pope John Paul II , breathe heavily and gasp at time , celebrate an open - air Mass on Sunday for several hundred thousand pilgrim , many in wheelchair , at a shrine to the Virgin Mary that be associate with miraculous cure .     at one point he say "" help I "" in Polish while struggle through his homily in French ..."
1,Venezuela Prepares for Chavez Recall Vote,Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.,supporter and rival warn of possible fraud ; government say Chavez 's defeat could produce turmoil in world oil market .
1,1994 Law Designed to Preserve Guard Jobs (AP),AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).,AP - A 1994 law strengthen job protection for National Guard and Reserve troop call to active duty . here be major provision of the Uniformed Services Employment and Reemployment Rights Act ( USERRA ) .
1,Iran Warns Its Missiles Can Hit Anywhere in Israel," TEHRAN (Reuters) - A senior Iranian military official said  Sunday Israel and the United States would not dare attack Iran  since it could strike back anywhere in Israel with its latest  missiles, news agencies reported.","  TEHRAN ( Reuters ) - a senior iranian military official say   Sunday Israel and the United States would not dare attack Iran   since it could strike back anywhere in Israel with its late   missile , news agency report ."
1,Afghan Army Dispatched to Calm Violence,"KABUL, Afghanistan - Government troops intervened in Afghanistan's latest outbreak of deadly fighting between warlords, flying from the capital to the far west on U.S. and NATO airplanes to retake an air base contested in the violence, officials said Sunday...","KABUL , Afghanistan - government troop intervene in Afghanistan 's late outbreak of deadly fighting between warlord , fly from the capital to the far west on U.S. and NATO airplane to retake an air base contest in the violence , official say Sunday ..."
2,Johnson Helps D-Backs End Nine-Game Slide (AP),"AP - Randy Johnson took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.","AP - Randy Johnson take a four - hitter into the ninth inning to help the Arizona Diamondbacks end a nine - game losing streak Sunday , beat Steve Trachsel and the New York Mets 2 - 0 ."
3,Retailers Vie for Back-To-School Buyers (Reuters),"Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.","Reuters - Apparel retailer be hope their\back - to - school fashion will make the grade among\style - conscious teen and young adult this fall , but it could\be a tough sell , with student and parent keep a tighter\hold on their wallet ."
1,Politics an Afterthought Amid Hurricane (AP),"AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other presidents have made to the scenes of storms, earthquakes, floods and fires.","AP - if Hurricane Charley have strike three year ago , President Bush 's tour through the wreckage of this coastal city would have be just the sort of post - disaster visit that other president have make to the scene of storm , earthquake , flood and fire ."
4,Spam suspension hits Sohu.com shares (FT.com),"FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.","FT.com - Shares in Sohu.com , a lead US - list chinese internet portal , fall more than 10 per cent on Friday after China 's big mobile phone network operator impose a one - year suspension on its multimedia message service because of customer be send spam ."
2,Erstad's Double Lifts Angels to Win (AP),"AP - Darin Erstad doubled in the go-ahead run in the eighth inning, lifting the Anaheim Angels to a 3-2 victory over the Detroit Tigers on Sunday. The win pulled Anaheim within a percentage point of Boston and Texas in the AL wild-card race.","AP - Darin Erstad double in the go - ahead run in the eighth inning , lift the Anaheim Angels to a 3 - 2 victory over the Detroit Tigers on Sunday . the win pull Anaheim within a percentage point of Boston and Texas in the AL wild - card race ."
2,Drew Out of Braves' Lineup After Injury (AP),AP - Outfielder J.D. Drew missed the Atlanta Braves' game against the St. Louis Cardinals on Sunday night with a sore right quadriceps.,AP - Outfielder J.D. Drew miss the Atlanta Braves ' game against the St. Louis Cardinals on Sunday night with a sore right quadricep .
1,"Venezuelans Flood Polls, Voting Extended"," CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  numbers on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and electoral authorities  prolonged voting well into the night.","  CARACAS , Venezuela ( Reuters ) - Venezuelans vote in huge   number on Sunday in a historic referendum on whether to recall   left - wing President Hugo Chavez and electoral authority   prolong voting well into the night ."
4,Dell Exits Low-End China Consumer PC Market," HONG KONG (Reuters) - Dell Inc. &lt;DELL.O&gt;, the world's  largest PC maker, said on Monday it has left the low-end  consumer PC market in China and cut its overall growth target  for the country this year due to stiff competition in the  segment.","  HONG KONG ( Reuters ) - Dell Inc. & lt;DELL.O&gt ; , the world 's   large pc maker , say on Monday it have leave the low - end   consumer pc market in China and cut its overall growth target   for the country this year due to stiff competition in the   segment ."
1,China Says Taiwan Spy Also Operated in U.S. - Media," BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.","  BEIJING ( Reuters ) - Beijing on Monday accuse a   chinese - American arrest for spy for Taiwan of build an   espionage network in the United States , and say he could go on   trial very soon ."
2,Another Major Non-Factor,"Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a major championship since his triumph at the 2002 U.S. Open.","another major , another disappointment for Tiger Woods , the no . 1 rank player in the world who have not win a major championship since his triumph at the 2002 U.S. Open ."
1,US fighter squadron to be deployed in South Korea next month (AFP),"AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.","AFP - a squadron of US Air Force F-15E fighter base in Alaska will fly to South Korea next month for temporary deployment aim at enhance US firepower on the korean peninsula , US authority say ."
2,Johnson Back to His Best as D-Backs End Streak, NEW YORK (Reuters) - Randy Johnson struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Mets in the  National League Sunday.,  NEW YORK ( Reuters ) - Randy Johnson strike out 14 batter in   8 1/3 innings to help the Arizona Diamondbacks end a nine - game   lose streak with a 2 - 0 win over the host New York Mets in the   National League Sunday .
1,Restive Maldives eases curfew after rounding up dissidents (AFP),"AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.","AFP - a curfew in the capital of the Maldives be ease but parliament session be put off indefinitely and emergency rule continue follow last week 's riot , official and resident say ."
4,Vodafone hires Citi for Cesky bid (TheDeal.com),TheDeal.com - The U.K. mobile giant wants to find a way to disentagle the Czech wireless and fixed-line businesses.,TheDeal.com - the U.K. mobile giant want to find a way to disentagle the czech wireless and fix - line business .
3,Dollar Briefly Hits 4-Wk Low Vs Euro," LONDON (Reuters) - The dollar dipped to a four-week low  against the euro on Monday before rising slightly on  profit-taking, but steep oil prices and weak U.S. data  continued to fan worries about the health of the world's  largest economy.","  LONDON ( Reuters ) - the dollar dip to a four - week low   against the euro on Monday before rise slightly on   profit - taking , but steep oil price and weak U.S. datum   continue to fan worry about the health of the world 's   large economy ."
4,Promoting a Shared Vision,"As Michael Kaleko kept running into people who were getting older and having more vision problems, he realized he could do something about it.","as Michael Kaleko keep run into people who be get old and have more vision problem , he realize he could do something about it ."
1,India's Tata expands regional footprint via NatSteel buyout (AFP),AFP - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.,AFP - India 's Tata Iron and Steel Company Ltd. take a strategic step to expand its asian footprint with the announcement it will buy the Asia - Pacific steel operation of Singapore 's NatSteel Ltd.
1,Delegates Urge Cleric to Pull Out of Najaf,"BAGHDAD, Iraq - Delegates at Iraq's National Conference called on radical Shiite cleric Muqtada al-Sadr to abandon his uprising against U.S. and Iraqi troops and pull his fighters out of a holy shrine in Najaf...","BAGHDAD , Iraq - Delegates at Iraq 's National Conference call on radical shiite cleric Muqtada al - Sadr to abandon his uprising against U.S. and iraqi troop and pull his fighter out of a holy shrine in Najaf ..."
3,Treasuries Slip as Stocks Rally," NEW YORK (Reuters) - U.S. Treasury debt prices slipped on  Monday, though traders characterized the move as profit-taking  rather than any fundamental change in sentiment.","  NEW YORK ( Reuters ) - U.S. Treasury debt price slip on   Monday , though trader characterize the move as profit - taking   rather than any fundamental change in sentiment ."
3,Dollar Rises Vs Euro on Asset Flows Data, NEW YORK (Reuters) - The dollar extended gains against the  euro on Monday after a report on flows into U.S. assets showed  enough of a rise in foreign investments to offset the current  account gap for the month.,  NEW YORK ( Reuters ) - the dollar extend gain against the   euro on Monday after a report on flow into U.S. asset show   enough of a rise in foreign investment to offset the current   account gap for the month .
2,"Sutton Adds Haas, Cink to Ryder Cup Team", MILWAUKEE (Sports Network) - U.S. Ryder Cup captain Hal  Sutton finalized his team on Monday when he announced the  selections of Jay Haas and Stewart Cink as his captain's picks.,  MILWAUKEE ( Sports Network ) - U.S. Ryder Cup captain Hal   Sutton finalize his team on Monday when he announce the   selection of Jay Haas and Stewart Cink as his captain 's pick .
2,Haas and Cink Selected for Ryder Cup Team,Jay Haas joined Stewart Cink as the two captain's picks for a U.S. team that will try to regain the cup from Europe next month.,Jay Haas join Stewart Cink as the two captain 's pick for a U.S. team that will try to regain the cup from Europe next month .
2,Natalie Coughlin Wins 100M Backstroke (AP),"AP - American Natalie Coughlin won Olympic gold in the 100-meter backstroke Monday night. Coughlin, the only woman ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. Kirsty Coventry of Zimbabwe, who swims at Auburn University in Alabama, earned the silver in 1:00.50. Laure Manaudou of France took bronze in 1:00.88.","AP - American Natalie Coughlin win olympic gold in the 100 - meter backstroke Monday night . Coughlin , the only woman ever to swim under 1 minute in the event , finish first in 1 minute , 0.37 second . Kirsty Coventry of Zimbabwe , who swim at Auburn University in Alabama , earn the silver in 1:00.50 . laure Manaudou of France take bronze in 1:00.88 ."
4,Oracle Overhauls Sales-Side Apps for CRM Suite (NewsFactor),"NewsFactor - Oracle (Nasdaq: ORCL) has revamped its sales-side CRM applications in version 11i.10 of its sales, marketing, partner relationship management and e-commerce application.","NewsFactor - Oracle ( Nasdaq : ORCL ) have revamp its sale - side CRM application in version 11i.10 of its sale , marketing , partner relationship management and e - commerce application ."
1,UN launches 210-million-dollar appeal for flood-hit Bangladesh (AFP),"AFP - The United Nations launched an appeal here for 210 million dollars to help flood victims facing ""grave"" food shortages after two-thirds of Bangladesh was submerged, destroying crops and killing more than 700 people.","AFP - the United Nations launch an appeal here for 210 million dollar to help flood victim face "" grave "" food shortage after two - third of Bangladesh be submerge , destroy crop and kill more than 700 people ."
4,Indian state rolls out wireless broadband,Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.,government in south indian state of Kerala set up wireless kiosk as part of initiative to bridge digital divide .
1,"Hurricane Survivors Wait for Water, Gas","PUNTA GORDA, Fla. - Urban rescue teams, insurance adjusters and National Guard troops scattered across Florida Monday to help victims of Hurricane Charley and deliver water and other supplies to thousands of people left homeless...","PUNTA GORDA , Fla. - urban rescue team , insurance adjuster and National Guard troop scatter across Florida Monday to help victim of Hurricane Charley and deliver water and other supply to thousand of people leave homeless ..."
1,Jackson Squares Off With Prosecutor,"SANTA MARIA, Calif. - Fans of Michael Jackson erupted in cheers Monday as the pop star emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges...","SANTA MARIA , Calif. - Fans of Michael Jackson erupt in cheer Monday as the pop star emerge from a double - decker tour bus and go into court for a showdown with the prosecutor who have pursue he for year on child molestation charge ..."
2,Bobcats Trade Drobnjak to Hawks for Pick (AP),AP - The Charlotte Bobcats traded center Predrag Drobnjak to the Atlanta Hawks on Monday for a second round pick in the 2005 NBA draft.,AP - the Charlotte Bobcats trade center Predrag Drobnjak to the Atlanta Hawks on Monday for a second round pick in the 2005 NBA draft .
1,"Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press)","Canadian Press - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week.","Canadian Press - LANGLEY , B.C. ( CP ) - Police have arrest a man in the kidnapping and sexual assault of an 11 - year - old girl that frighten this suburban Vancouver community last week ."
4,China's Red Flag Linux to focus on enterprise,"Red Flag Software Co., the company behind China's leading Linux client distribution, plans to focus more on its server operating system and enterprise customers, the company's acting president said.","Red Flag Software Co. , the company behind China 's lead Linux client distribution , plan to focus more on its server operating system and enterprise customer , the company 's act president say ."
4,AOL Properties Sign Girafa For Thumbnail Search Images,"AOL Properties Sign Girafa For Thumbnail Search Images\\Girafa.com Inc. announced today that the CompuServe, Netscape, AIM and ICQ properties of America Online, Inc., have signed an agreement with Girafa to use Girafa's thumbnail search images as an integrated part of their search results.\\Using Girafa's thumbnail search service, search users can ...","AOL Properties Sign Girafa for Thumbnail Search Images\\Girafa.com Inc. announce today that the CompuServe , Netscape , AIM and ICQ property of America Online , Inc. , have sign an agreement with Girafa to use Girafa 's thumbnail search image as an integrated part of their search results.\\use Girafa 's thumbnail search service , search user can ..."
4,Cassini Spies Two Little Saturn Moons (AP),"AP - NASA's Cassini spacecraft has spied two new little moons around satellite-rich Saturn, the space agency said Monday.","AP - NASA 's Cassini spacecraft have spy two new little moon around satellite - rich saturn , the space agency say Monday ."
1,On front line of AIDS in Russia,An industrial city northwest of Moscow struggles as AIDS hits a broader population.,an industrial city northwest of Moscow struggle as AIDS hit a broad population .
4,Nobel Laureate Decries Stem Cell Limits (AP),"AP - A Nobel laureate in medicine said Monday the Bush administration's limits on funding for embryonic stem cell research effectively have stopped the clock on American scientists' efforts to develop treatments for a host of chronic, debilitating diseases.","AP - a Nobel laureate in medicine say Monday the Bush administration 's limit on funding for embryonic stem cell research effectively have stop the clock on american scientist ' effort to develop treatment for a host of chronic , debilitate disease ."
